date,product,quantity,amount
2024-02-01,Rice 1kg,50,2500
2024-02-01,Wheat Flour 1kg,30,1200
2024-02-01,Sugar 1kg,20,800
2024-02-02,Rice 1kg,45,2250
2024-02-02,Cooking Oil 1L,25,3000
2024-02-03,Tea Powder 250g,40,1600
2024-02-03,Biscuits Pack,60,1800
2024-02-04,Rice 1kg,55,2750
2024-02-04,Wheat Flour 1kg,35,1400
2024-02-05,Sugar 1kg,15,600
2024-02-05,Cooking Oil 1L,20,2400
2024-02-06,Tea Powder 250g,50,2000
2024-02-06,Biscuits Pack,70,2100
2024-02-07,Rice 1kg,60,3000
2024-02-07,Detergent 1kg,10,500
